CONTIGS;total_genes;viral_genes;checkv_quality;completeness
NODE_A749_length_1467_cov_27.851799_CE3;1;0;Not-determined;NA
NODE_A750_length_1467_cov_13.722302_CE3;1;0;Not-determined;NA
NODE_A752_length_1466_cov_25.596832_CE3;1;0;Not-determined;NA
NODE_A754_length_1464_cov_7.870944_CE3;1;0;Not-determined;NA
NODE_A755_length_1463_cov_18.948052_CE3;3;0;Not-determined;NA
NODE_A756_length_1463_cov_16.594517_CE3;2;0;Not-determined;NA
NODE_A757_length_1463_cov_10.401876_CE3;1;0;Not-determined;NA
NODE_A758_length_1462_cov_20.172563_CE3;3;1;Low-quality;3,08
NODE_A761_length_1461_cov_11.294075_CE3;3;0;Not-determined;NA
NODE_A762_length_1460_cov_23.438178_CE3;1;0;Not-determined;NA
NODE_A764_length_1460_cov_11.123644_CE3;1;0;Not-determined;NA
NODE_A766_length_1459_cov_21.475398_CE3;1;0;Not-determined;NA
NODE_A767_length_1459_cov_11.725760_CE3;1;0;Not-determined;NA
NODE_A769_length_1458_cov_9.871832_CE3;1;0;Not-determined;NA
NODE_A770_length_1457_cov_15.165942_CE3;1;0;Not-determined;NA
NODE_A771_length_1456_cov_27.544598_CE3;0;0;Not-determined;NA
NODE_A772_length_1456_cov_19.063089_CE3;2;0;Not-determined;NA
NODE_A773_length_1456_cov_18.944162_CE3;1;0;Not-determined;NA
NODE_A775_length_1456_cov_14.631617_CE3;3;0;Not-determined;NA
NODE_A776_length_1456_cov_14.394489_CE3;1;1;Not-determined;NA
NODE_A777_length_1456_cov_6.298767_CE3;1;0;Not-determined;NA
NODE_A778_length_1455_cov_13.509434_CE3;2;0;Not-determined;NA
NODE_A779_length_1455_cov_9.888970_CE3;2;0;Not-determined;NA
NODE_A780_length_1455_cov_8.984035_CE3;1;0;Not-determined;NA
NODE_A781_length_1454_cov_16.711692_CE3;1;0;Not-determined;NA
NODE_A782_length_1454_cov_15.744372_CE3;1;0;Not-determined;NA
NODE_A783_length_1454_cov_13.689179_CE3;2;0;Not-determined;NA
NODE_A784_length_1454_cov_12.116921_CE3;6;0;Not-determined;NA
NODE_A785_length_1454_cov_11.791576_CE3;1;0;Not-determined;NA
NODE_A787_length_1454_cov_8.551924_CE3;3;0;Low-quality;1,62
NODE_A788_length_1452_cov_10.542545_CE3;1;0;Not-determined;NA
NODE_A789_length_1451_cov_20.438865_CE3;2;0;Not-determined;NA
NODE_A791_length_1450_cov_17.809905_CE3;1;0;Not-determined;NA
NODE_A792_length_1450_cov_7.841952_CE3;1;0;Not-determined;NA
NODE_A794_length_1449_cov_24.002915_CE3;1;0;Not-determined;NA
NODE_A795_length_1449_cov_19.551020_CE3;2;0;Not-determined;NA
NODE_A796_length_1449_cov_7.371720_CE3;3;0;Not-determined;NA
NODE_A798_length_1448_cov_8.180160_CE3;2;0;Not-determined;NA
NODE_B89_length_1448_cov_2.687819_CE3;6;0;Not-determined;NA
NODE_A799_length_1447_cov_12.581752_CE3;2;0;Not-determined;NA
NODE_A803_length_1445_cov_9.103070_CE3;6;0;Not-determined;NA
NODE_A805_length_1444_cov_13.459400_CE3;1;0;Not-determined;NA
NODE_A806_length_1444_cov_12.863204_CE3;1;0;Not-determined;NA
NODE_A808_length_1444_cov_7.927579_CE3;1;0;Not-determined;NA
NODE_A809_length_1444_cov_7.692026_CE3;0;0;Not-determined;NA
NODE_A810_length_1444_cov_4.073884_CE3;2;0;Not-determined;NA
NODE_A811_length_1443_cov_16.719619_CE3;1;0;Not-determined;NA
NODE_A812_length_1443_cov_12.747438_CE3;1;0;Not-determined;NA
NODE_A813_length_1442_cov_22.624908_CE3;1;0;Not-determined;NA
NODE_A814_length_1442_cov_10.377289_CE3;1;0;Not-determined;NA
NODE_A815_length_1442_cov_9.348718_CE3;1;0;Not-determined;NA
NODE_A816_length_1442_cov_4.161905_CE3;1;0;Not-determined;NA
NODE_A818_length_1441_cov_40.545455_CE3;1;0;Not-determined;NA
NODE_A819_length_1441_cov_13.985337_CE3;1;0;Not-determined;NA
NODE_A820_length_1440_cov_13.520910_CE3;2;0;Not-determined;NA
NODE_A822_length_1439_cov_15.777533_CE3;1;0;Not-determined;NA
NODE_A823_length_1439_cov_8.215125_CE3;4;2;Low-quality;3,31
NODE_A825_length_1438_cov_15.135929_CE3;1;0;Not-determined;NA
NODE_A826_length_1437_cov_92.217647_CE3;0;0;Not-determined;NA
NODE_A827_length_1436_cov_24.274467_CE3;1;0;Not-determined;NA
NODE_A829_length_1434_cov_32.952100_CE3;1;0;Not-determined;NA
NODE_A830_length_1434_cov_30.428150_CE3;1;1;Not-determined;NA
NODE_A833_length_1434_cov_12.400147_CE3;2;0;Not-determined;NA
NODE_A834_length_1434_cov_5.322034_CE3;1;0;Not-determined;NA
NODE_A835_length_1433_cov_15.918879_CE3;1;0;Not-determined;NA
NODE_A836_length_1433_cov_9.716077_CE3;0;0;Not-determined;NA
NODE_A837_length_1433_cov_7.637906_CE3;1;0;Not-determined;NA
NODE_A838_length_1432_cov_17.546863_CE3;0;0;Not-determined;NA
NODE_A839_length_1431_cov_21.441654_CE3;3;0;Not-determined;NA
NODE_A840_length_1431_cov_12.920236_CE3;2;0;Not-determined;NA
NODE_A841_length_1431_cov_12.068685_CE3;1;0;Not-determined;NA
NODE_A844_length_1430_cov_9.425721_CE3;1;0;Not-determined;NA
NODE_A845_length_1429_cov_29.607249_CE3;1;0;Not-determined;NA
NODE_A847_length_1428_cov_11.527757_CE3;0;0;Not-determined;NA
NODE_A849_length_1427_cov_13.520000_CE3;1;0;Not-determined;NA
NODE_A850_length_1426_cov_7.759822_CE3;1;0;Not-determined;NA
NODE_A851_length_1425_cov_17.814540_CE3;1;0;Not-determined;NA
NODE_A853_length_1424_cov_15.297699_CE3;1;0;Not-determined;NA
NODE_A854_length_1424_cov_13.289532_CE3;1;0;Not-determined;NA
NODE_A855_length_1423_cov_13.916790_CE3;3;0;Not-determined;NA
NODE_A856_length_1423_cov_10.677563_CE3;1;0;Not-determined;NA
NODE_A857_length_1423_cov_6.707281_CE3;1;0;Not-determined;NA
NODE_A858_length_1421_cov_20.528274_CE3;1;0;Not-determined;NA
NODE_A859_length_1421_cov_15.696429_CE3;2;0;Not-determined;NA
NODE_A860_length_1420_cov_11.014892_CE3;2;0;Not-determined;NA
NODE_A861_length_1420_cov_9.363366_CE3;2;0;Not-determined;NA
NODE_A862_length_1420_cov_8.206255_CE3;2;0;Not-determined;NA
NODE_A863_length_1420_cov_6.035741_CE3;1;0;Not-determined;NA
NODE_A864_length_1418_cov_19.919463_CE3;1;0;Not-determined;NA
NODE_A865_length_1418_cov_12.250559_CE3;4;0;Not-determined;NA
NODE_A866_length_1416_cov_35.471247_CE3;2;0;Not-determined;NA
NODE_A867_length_1416_cov_15.473488_CE3;2;0;Not-determined;NA
NODE_A869_length_1415_cov_15.040359_CE3;1;0;Not-determined;NA
NODE_A871_length_1414_cov_13.022438_CE3;3;0;Not-determined;NA
NODE_A872_length_1413_cov_21.687874_CE3;2;0;Not-determined;NA
NODE_A873_length_1413_cov_13.333832_CE3;1;0;Not-determined;NA
NODE_A874_length_1413_cov_12.306886_CE3;1;0;Not-determined;NA
NODE_A876_length_1412_cov_18.005993_CE3;1;0;Not-determined;NA
NODE_A877_length_1412_cov_15.573034_CE3;1;0;Not-determined;NA
NODE_A879_length_1411_cov_13.742129_CE3;1;0;Not-determined;NA
NODE_A880_length_1409_cov_24.998498_CE3;6;0;Low-quality;0,72
NODE_A881_length_1409_cov_14.731982_CE3;1;0;Not-determined;NA
NODE_A882_length_1409_cov_9.334084_CE3;1;0;Not-determined;NA
NODE_A883_length_1409_cov_8.885135_CE3;1;0;Not-determined;NA
NODE_A884_length_1408_cov_24.945905_CE3;1;0;Not-determined;NA
NODE_A885_length_1408_cov_16.709992_CE3;2;0;Not-determined;NA
NODE_A886_length_1407_cov_29.921053_CE3;1;0;Not-determined;NA
NODE_A888_length_1406_cov_12.990971_CE3;1;0;Not-determined;NA
NODE_A889_length_1406_cov_9.078254_CE3;2;0;Not-determined;NA
NODE_A890_length_1405_cov_28.006777_CE3;2;0;Not-determined;NA
NODE_A891_length_1405_cov_12.911898_CE3;1;0;Not-determined;NA
NODE_A892_length_1405_cov_7.496988_CE3;1;0;Not-determined;NA
NODE_A894_length_1404_cov_96.859081_CE3;5;0;Not-determined;NA
NODE_A896_length_1404_cov_27.559156_CE3;1;0;Not-determined;NA
NODE_A897_length_1404_cov_13.022607_CE3;1;0;Not-determined;NA
NODE_A898_length_1404_cov_12.507159_CE3;1;0;Not-determined;NA
NODE_A899_length_1404_cov_12.451394_CE3;1;0;Not-determined;NA
NODE_A900_length_1404_cov_9.867370_CE3;1;0;Not-determined;NA
NODE_A901_length_1404_cov_9.544084_CE3;2;0;Not-determined;NA
NODE_A902_length_1404_cov_6.646571_CE3;1;0;Not-determined;NA
NODE_A904_length_1403_cov_15.429110_CE3;1;0;Not-determined;NA
NODE_A906_length_1402_cov_7.575094_CE3;1;0;Not-determined;NA
NODE_A907_length_1401_cov_19.519637_CE3;1;0;Not-determined;NA
NODE_A908_length_1401_cov_14.360272_CE3;1;0;Not-determined;NA
NODE_A909_length_1401_cov_14.196375_CE3;1;0;Not-determined;NA
NODE_A910_length_1401_cov_8.127644_CE3;3;1;Low-quality;1,27
NODE_A911_length_1400_cov_25.710506_CE3;5;0;Low-quality;3,53
NODE_A912_length_1399_cov_15.737519_CE3;1;0;Not-determined;NA
NODE_A914_length_1399_cov_10.760212_CE3;1;0;Not-determined;NA
NODE_A915_length_1399_cov_10.068079_CE3;1;0;Not-determined;NA
NODE_A918_length_1398_cov_12.212718_CE3;2;0;Not-determined;NA
NODE_A919_length_1398_cov_11.655564_CE3;1;0;Not-determined;NA
NODE_A921_length_1397_cov_18.411364_CE3;1;0;Not-determined;NA
NODE_A922_length_1397_cov_10.345455_CE3;1;0;Not-determined;NA
NODE_A924_length_1396_cov_10.055345_CE3;2;0;Not-determined;NA
NODE_A926_length_1395_cov_17.639605_CE3;2;0;Not-determined;NA
NODE_A927_length_1395_cov_15.012140_CE3;2;0;Not-determined;NA
NODE_A928_length_1395_cov_8.169954_CE3;1;1;Low-quality;1,26
NODE_A929_length_1394_cov_15.021260_CE3;1;0;Not-determined;NA
NODE_A930_length_1394_cov_11.912680_CE3;1;0;Not-determined;NA
NODE_A931_length_1393_cov_9.225684_CE3;1;0;Not-determined;NA
NODE_A933_length_1391_cov_15.082192_CE3;1;0;Not-determined;NA
NODE_A934_length_1391_cov_13.717656_CE3;2;0;Not-determined;NA
NODE_A935_length_1391_cov_6.079148_CE3;1;0;Not-determined;NA
NODE_A936_length_1391_cov_5.931507_CE3;1;0;Not-determined;NA
NODE_A937_length_1390_cov_17.008378_CE3;0;0;Not-determined;NA
NODE_A938_length_1390_cov_13.488957_CE3;1;0;Not-determined;NA
NODE_A939_length_1389_cov_22.458841_CE3;1;0;Not-determined;NA
NODE_A940_length_1389_cov_14.627287_CE3;2;0;Not-determined;NA
NODE_A941_length_1389_cov_14.429878_CE3;1;0;Not-determined;NA
NODE_A942_length_1388_cov_11.750572_CE3;3;0;Not-determined;NA
NODE_A943_length_1388_cov_11.484363_CE3;1;0;Not-determined;NA
NODE_A944_length_1387_cov_12.245802_CE3;1;0;Not-determined;NA
NODE_A947_length_1386_cov_5.450726_CE3;1;0;Not-determined;NA
NODE_A948_length_1385_cov_17.499235_CE3;1;0;Not-determined;NA
NODE_A949_length_1384_cov_35.651875_CE3;1;0;Not-determined;NA
NODE_A951_length_1384_cov_14.449120_CE3;2;0;Not-determined;NA
NODE_A952_length_1383_cov_12.312404_CE3;4;1;Low-quality;1,65
NODE_A955_length_1382_cov_27.869732_CE3;1;0;Not-determined;NA
NODE_A956_length_1382_cov_15.005364_CE3;1;0;Not-determined;NA
NODE_A957_length_1382_cov_13.198467_CE3;2;0;Not-determined;NA
NODE_A958_length_1382_cov_10.548659_CE3;3;0;Not-determined;NA
NODE_A960_length_1381_cov_12.881135_CE3;1;0;Not-determined;NA
NODE_A961_length_1380_cov_17.406754_CE3;0;0;Not-determined;NA
NODE_A962_length_1380_cov_14.572525_CE3;4;0;Not-determined;NA
NODE_A963_length_1380_cov_6.033768_CE3;1;0;Not-determined;NA
NODE_A965_length_1379_cov_16.971582_CE3;1;0;Not-determined;NA
NODE_A967_length_1379_cov_7.523810_CE3;1;0;Not-determined;NA
NODE_A968_length_1378_cov_21.009224_CE3;3;0;Low-quality;3,11
NODE_A969_length_1378_cov_20.475788_CE3;1;0;Not-determined;NA
NODE_A970_length_1378_cov_13.785550_CE3;2;0;Not-determined;NA
NODE_A971_length_1377_cov_14.351538_CE3;3;2;Low-quality;1,67
NODE_A972_length_1377_cov_14.000769_CE3;2;0;Not-determined;NA
NODE_A973_length_1376_cov_33.847575_CE3;2;0;Not-determined;NA
NODE_A974_length_1376_cov_25.522710_CE3;2;0;Not-determined;NA
NODE_A975_length_1375_cov_66.385978_CE3;1;0;Not-determined;NA
NODE_A977_length_1375_cov_24.690293_CE3;1;0;Not-determined;NA
NODE_A978_length_1375_cov_22.833590_CE3;1;0;Not-determined;NA
NODE_A979_length_1375_cov_22.506163_CE3;1;0;Not-determined;NA
NODE_A980_length_1375_cov_12.491525_CE3;0;0;Not-determined;NA
NODE_A981_length_1375_cov_10.770416_CE3;1;0;Not-determined;NA
NODE_A982_length_1375_cov_9.004622_CE3;1;0;Not-determined;NA
NODE_A983_length_1374_cov_17.619121_CE3;0;0;Not-determined;NA
NODE_A985_length_1373_cov_20.324846_CE3;1;0;Not-determined;NA
NODE_A986_length_1373_cov_20.283179_CE3;1;0;Not-determined;NA
NODE_A987_length_1373_cov_20.243056_CE3;2;0;Low-quality;23,54
NODE_A988_length_1373_cov_9.108025_CE3;1;0;Not-determined;NA
NODE_A989_length_1373_cov_8.749228_CE3;1;0;Not-determined;NA
NODE_A990_length_1372_cov_18.227799_CE3;1;1;Low-quality;1,26
NODE_A991_length_1371_cov_20.759660_CE3;1;0;Not-determined;NA
NODE_A992_length_1371_cov_16.622102_CE3;1;1;Not-determined;NA
NODE_A993_length_1371_cov_9.967543_CE3;2;0;Not-determined;NA
NODE_A994_length_1370_cov_4.872390_CE3;2;0;Not-determined;NA
NODE_A995_length_1369_cov_11.017028_CE3;1;0;Not-determined;NA
NODE_A996_length_1369_cov_6.343653_CE3;1;0;Not-determined;NA
NODE_A997_length_1368_cov_11.978311_CE3;1;0;Not-determined;NA
NODE_A998_length_1368_cov_8.640589_CE3;1;0;Not-determined;NA
NODE_A1000_length_1367_cov_19.848062_CE3;1;0;Not-determined;NA
NODE_A1001_length_1367_cov_19.226357_CE3;2;0;Not-determined;NA
NODE_A999_length_1367_cov_23.715504_CE3;1;0;Not-determined;NA
NODE_A1002_length_1366_cov_14.417378_CE3;1;0;Not-determined;NA
NODE_A1003_length_1366_cov_12.763382_CE3;1;0;Not-determined;NA
NODE_A1004_length_1366_cov_12.369279_CE3;1;0;Not-determined;NA
NODE_A1005_length_1365_cov_7.286491_CE3;1;0;Not-determined;NA
NODE_A1006_length_1364_cov_47.083916_CE3;2;0;Not-determined;NA
NODE_A1007_length_1364_cov_21.935509_CE3;1;0;Not-determined;NA
NODE_A1009_length_1364_cov_15.944833_CE3;1;0;Not-determined;NA
NODE_A1010_length_1364_cov_14.007770_CE3;2;0;Not-determined;NA
NODE_A1011_length_1364_cov_9.184926_CE3;2;0;Not-determined;NA
NODE_A1012_length_1364_cov_5.995338_CE3;2;0;Not-determined;NA
NODE_A1013_length_1363_cov_22.442457_CE3;1;0;Not-determined;NA
NODE_A1014_length_1363_cov_15.495334_CE3;2;0;Not-determined;NA
NODE_A1015_length_1363_cov_12.863142_CE3;2;0;Not-determined;NA
NODE_A1016_length_1362_cov_13.454475_CE3;1;0;Not-determined;NA
NODE_A1017_length_1362_cov_12.852140_CE3;3;1;Low-quality;0,90
NODE_A1021_length_1359_cov_13.293292_CE3;0;0;Not-determined;NA
NODE_A1022_length_1359_cov_4.372855_CE3;1;0;Not-determined;NA
NODE_A1024_length_1358_cov_7.494145_CE3;4;0;Not-determined;NA
NODE_A1026_length_1357_cov_26.341406_CE3;1;0;Not-determined;NA
NODE_A1027_length_1357_cov_23.775781_CE3;2;0;Not-determined;NA
NODE_A1028_length_1357_cov_17.024219_CE3;1;0;Not-determined;NA
NODE_A1029_length_1357_cov_12.477344_CE3;1;0;Not-determined;NA
NODE_A1030_length_1356_cov_14.082877_CE3;1;1;Low-quality;12,64
NODE_A1031_length_1356_cov_11.418296_CE3;0;0;Not-determined;NA
NODE_A1032_length_1355_cov_20.618153_CE3;2;1;Low-quality;2,22
NODE_A1033_length_1355_cov_17.633803_CE3;1;1;Low-quality;0,83
NODE_A1034_length_1355_cov_11.532864_CE3;2;0;Not-determined;NA
NODE_A1035_length_1355_cov_10.587637_CE3;2;0;Not-determined;NA
NODE_A1036_length_1355_cov_9.361502_CE3;1;0;Not-determined;NA
NODE_A1037_length_1354_cov_13.543461_CE3;1;0;Not-determined;NA
NODE_A1038_length_1352_cov_21.647059_CE3;1;0;Not-determined;NA
NODE_A1039_length_1352_cov_12.926275_CE3;1;0;Not-determined;NA
NODE_A1040_length_1352_cov_11.989020_CE3;1;0;Not-determined;NA
NODE_A1041_length_1352_cov_9.994510_CE3;1;0;Not-determined;NA
NODE_A1042_length_1352_cov_9.984314_CE3;1;0;Not-determined;NA
NODE_A1044_length_1351_cov_17.893250_CE3;3;0;Not-determined;NA
NODE_A1045_length_1351_cov_10.570644_CE3;1;0;Not-determined;NA
NODE_A1047_length_1351_cov_8.705651_CE3;1;0;Not-determined;NA
NODE_A1048_length_1351_cov_7.428571_CE3;2;0;Not-determined;NA
NODE_A1049_length_1351_cov_5.243328_CE3;3;1;Low-quality;2,42
NODE_A1051_length_1350_cov_12.401414_CE3;2;0;Not-determined;NA
NODE_A1052_length_1350_cov_7.477612_CE3;1;0;Not-determined;NA
NODE_A1053_length_1349_cov_9.622642_CE3;1;0;Not-determined;NA
NODE_A1054_length_1349_cov_9.029088_CE3;1;0;Not-determined;NA
NODE_A1055_length_1348_cov_19.414634_CE3;1;0;Not-determined;NA
NODE_A1056_length_1348_cov_13.317860_CE3;1;0;Not-determined;NA
NODE_A1057_length_1348_cov_6.666404_CE3;0;0;Not-determined;NA
NODE_A1058_length_1348_cov_4.798584_CE3;1;0;Not-determined;NA
NODE_A1060_length_1347_cov_15.442520_CE3;2;1;Low-quality;0,83
NODE_A1061_length_1347_cov_14.128346_CE3;1;0;Not-determined;NA
NODE_A1062_length_1347_cov_12.718898_CE3;2;0;Not-determined;NA
NODE_A1064_length_1346_cov_29.026793_CE3;2;0;Not-determined;NA
NODE_A1065_length_1346_cov_22.771474_CE3;1;0;Not-determined;NA
NODE_A1066_length_1346_cov_18.478329_CE3;2;0;Not-determined;NA
NODE_A1067_length_1346_cov_9.298660_CE3;2;0;Not-determined;NA
NODE_A1068_length_1345_cov_6.170347_CE3;1;0;Not-determined;NA
NODE_A1070_length_1344_cov_22.117601_CE3;1;0;Not-determined;NA
NODE_A1072_length_1344_cov_17.693765_CE3;5;0;Not-determined;NA
NODE_A1074_length_1344_cov_11.614838_CE3;3;0;Not-determined;NA
NODE_A1075_length_1343_cov_15.676935_CE3;2;1;Low-quality;0,32
NODE_A1076_length_1343_cov_15.086888_CE3;2;0;Not-determined;NA
NODE_A1077_length_1343_cov_7.186414_CE3;2;0;Not-determined;NA
NODE_A1078_length_1342_cov_37.373123_CE3;1;0;Not-determined;NA
NODE_A1079_length_1342_cov_10.768379_CE3;1;0;Not-determined;NA
NODE_A1080_length_1341_cov_10.152690_CE3;0;0;Not-determined;NA
NODE_A1081_length_1341_cov_7.587025_CE3;1;0;Not-determined;NA
NODE_A1082_length_1341_cov_7.425633_CE3;0;0;Not-determined;NA
NODE_A1085_length_1340_cov_9.695170_CE3;1;0;Not-determined;NA
NODE_A1086_length_1340_cov_7.077593_CE3;1;0;Not-determined;NA
NODE_A1087_length_1339_cov_11.574485_CE3;1;0;Not-determined;NA
NODE_A1088_length_1338_cov_83.039651_CE3;1;0;Not-determined;NA
NODE_A1091_length_1338_cov_22.983347_CE3;1;0;Not-determined;NA
NODE_A1092_length_1338_cov_9.773196_CE3;4;0;Not-determined;NA
NODE_A1093_length_1338_cov_6.931007_CE3;1;0;Not-determined;NA
NODE_A1094_length_1337_cov_14.280159_CE3;1;0;Not-determined;NA
NODE_A1095_length_1337_cov_10.800794_CE3;3;0;Low-quality;3,02
NODE_A1096_length_1336_cov_12.467037_CE3;1;1;Not-determined;NA
NODE_A1097_length_1336_cov_12.422558_CE3;1;0;Not-determined;NA
NODE_A1098_length_1336_cov_10.840349_CE3;1;0;Not-determined;NA
NODE_A1099_length_1335_cov_9.890302_CE3;0;0;Not-determined;NA
NODE_A1100_length_1335_cov_5.377583_CE3;3;0;Not-determined;NA
NODE_A1102_length_1334_cov_11.872713_CE3;0;0;Not-determined;NA
NODE_A1103_length_1334_cov_5.486078_CE3;1;0;Not-determined;NA
NODE_A1104_length_1333_cov_22.244427_CE3;2;0;Not-determined;NA
NODE_A1106_length_1333_cov_11.734873_CE3;2;0;Not-determined;NA
NODE_A1107_length_1333_cov_6.503185_CE3;1;0;Not-determined;NA
NODE_A1109_length_1333_cov_5.519904_CE3;1;0;Not-determined;NA
NODE_A1110_length_1332_cov_28.916335_CE3;3;1;Low-quality;2,02
NODE_A1111_length_1332_cov_17.013546_CE3;1;0;Not-determined;NA
NODE_A1112_length_1332_cov_15.786454_CE3;1;0;Not-determined;NA
NODE_A1113_length_1332_cov_11.894024_CE3;1;0;Not-determined;NA
NODE_A1114_length_1332_cov_10.106773_CE3;2;0;Not-determined;NA
NODE_A1115_length_1332_cov_6.333865_CE3;1;0;Not-determined;NA
NODE_A1116_length_1332_cov_5.776096_CE3;1;0;Not-determined;NA
NODE_A1118_length_1330_cov_12.850758_CE3;1;0;Not-determined;NA
NODE_A1119_length_1329_cov_26.901757_CE3;3;3;Low-quality;1,92
NODE_A1121_length_1328_cov_14.728217_CE3;1;0;Not-determined;NA
NODE_A1122_length_1328_cov_8.630695_CE3;2;0;Low-quality;0,95
NODE_A1123_length_1328_cov_7.611511_CE3;1;0;Not-determined;NA
NODE_A1124_length_1328_cov_6.542766_CE3;1;0;Not-determined;NA
NODE_A1125_length_1326_cov_15.924740_CE3;2;0;Low-quality;3,15
NODE_A1126_length_1326_cov_11.451561_CE3;1;0;Not-determined;NA
NODE_A1130_length_1325_cov_21.438301_CE3;1;0;Not-determined;NA
NODE_A1131_length_1325_cov_14.479968_CE3;2;0;Not-determined;NA
NODE_A1132_length_1323_cov_14.552167_CE3;2;0;Not-determined;NA
NODE_A1133_length_1323_cov_14.443820_CE3;2;0;Not-determined;NA
NODE_A1134_length_1323_cov_5.788925_CE3;1;0;Not-determined;NA
NODE_A1137_length_1322_cov_19.468273_CE3;1;0;Not-determined;NA
NODE_A1138_length_1322_cov_15.608032_CE3;4;0;Not-determined;NA
NODE_A1140_length_1322_cov_9.594378_CE3;1;0;Not-determined;NA
NODE_A1142_length_1321_cov_21.900322_CE3;1;0;Not-determined;NA
NODE_A1143_length_1321_cov_16.032958_CE3;3;0;Not-determined;NA
NODE_A1144_length_1321_cov_10.287781_CE3;1;0;Not-determined;NA
NODE_A1145_length_1320_cov_20.179405_CE3;1;0;Not-determined;NA
NODE_A1146_length_1320_cov_13.725664_CE3;1;0;Not-determined;NA
NODE_A1147_length_1319_cov_12.691626_CE3;1;0;Not-determined;NA
NODE_A1148_length_1319_cov_12.138486_CE3;3;0;Not-determined;NA
NODE_A1149_length_1318_cov_13.978243_CE3;1;0;Not-determined;NA
NODE_A1150_length_1318_cov_12.105560_CE3;1;0;Not-determined;NA
NODE_A1151_length_1318_cov_7.008058_CE3;2;0;Not-determined;NA
NODE_A1152_length_1318_cov_6.311039_CE3;2;0;Not-determined;NA
NODE_A1153_length_1317_cov_16.326613_CE3;2;0;Not-determined;NA
NODE_A1154_length_1317_cov_15.646774_CE3;1;0;Not-determined;NA
NODE_A1155_length_1317_cov_11.932258_CE3;1;0;Not-determined;NA
NODE_A1156_length_1317_cov_11.602419_CE3;2;0;Not-determined;NA
NODE_A1157_length_1317_cov_11.294355_CE3;1;0;Not-determined;NA
NODE_A1158_length_1316_cov_23.867635_CE3;2;0;Not-determined;NA
NODE_A1159_length_1316_cov_13.368846_CE3;2;0;Not-determined;NA
NODE_A1160_length_1316_cov_9.543180_CE3;2;1;Low-quality;0,81
NODE_A1162_length_1315_cov_25.806139_CE3;1;0;Not-determined;NA
NODE_A1164_length_1315_cov_9.798869_CE3;3;0;Not-determined;NA
NODE_A1167_length_1314_cov_16.857720_CE3;4;0;Not-determined;NA
NODE_A1168_length_1314_cov_15.101051_CE3;1;0;Not-determined;NA
NODE_A1169_length_1314_cov_12.157639_CE3;1;0;Not-determined;NA
NODE_A1171_length_1313_cov_17.283172_CE3;1;0;Not-determined;NA
NODE_A1173_length_1313_cov_6.093851_CE3;1;0;Not-determined;NA
NODE_A1174_length_1312_cov_20.861538_CE3;3;0;Not-determined;NA
NODE_A1175_length_1312_cov_17.881781_CE3;1;0;Not-determined;NA
NODE_A1176_length_1312_cov_12.989474_CE3;1;0;Not-determined;NA
NODE_A1177_length_1312_cov_11.855870_CE3;2;1;Low-quality;2,01
NODE_A1178_length_1312_cov_8.665587_CE3;1;0;Not-determined;NA
NODE_A1179_length_1311_cov_8.803079_CE3;2;2;Low-quality;3,13
NODE_A1180_length_1311_cov_7.889789_CE3;2;0;Not-determined;NA
NODE_A1181_length_1311_cov_7.761750_CE3;1;0;Not-determined;NA
NODE_A1182_length_1311_cov_5.632091_CE3;0;0;Not-determined;NA
NODE_A1183_length_1310_cov_14.299270_CE3;0;0;Not-determined;NA
NODE_A1184_length_1310_cov_13.017032_CE3;1;0;Not-determined;NA
NODE_A1185_length_1310_cov_11.814274_CE3;3;0;Not-determined;NA
NODE_A1186_length_1309_cov_19.642045_CE3;3;0;Not-determined;NA
NODE_A1187_length_1309_cov_5.694805_CE3;0;0;Not-determined;NA
NODE_A1188_length_1309_cov_4.339286_CE3;1;0;Not-determined;NA
NODE_A1190_length_1308_cov_43.659626_CE3;3;0;Not-determined;NA
NODE_A1191_length_1308_cov_12.113729_CE3;1;0;Not-determined;NA
NODE_A1192_length_1308_cov_8.552396_CE3;1;0;Not-determined;NA
NODE_A1193_length_1308_cov_8.287571_CE3;1;0;Not-determined;NA
NODE_A1194_length_1307_cov_18.062602_CE3;1;0;Not-determined;NA
NODE_A1196_length_1307_cov_13.121951_CE3;3;0;Not-determined;NA
NODE_A1197_length_1307_cov_12.037398_CE3;1;0;Not-determined;NA
NODE_A1198_length_1307_cov_8.683740_CE3;1;0;Not-determined;NA
NODE_A1199_length_1306_cov_23.716029_CE3;2;1;Low-quality;1,80
NODE_A1200_length_1306_cov_21.013019_CE3;1;0;Not-determined;NA
NODE_A1201_length_1306_cov_20.027665_CE3;1;0;Not-determined;NA
NODE_A1202_length_1306_cov_18.518308_CE3;3;3;Low-quality;1,91
NODE_A1203_length_1306_cov_13.064280_CE3;1;0;Not-determined;NA
NODE_A1204_length_1306_cov_8.118796_CE3;2;0;Not-determined;NA
NODE_A1205_length_1305_cov_22.723941_CE3;2;1;Not-determined;NA
NODE_A1206_length_1305_cov_17.594463_CE3;3;2;Low-quality;2,75
NODE_A1207_length_1305_cov_16.385179_CE3;3;0;Low-quality;1,94
NODE_A1208_length_1305_cov_12.975570_CE3;1;0;Not-determined;NA
NODE_A1209_length_1305_cov_11.719870_CE3;2;1;Low-quality;11,43
NODE_A1211_length_1305_cov_5.980456_CE3;1;0;Not-determined;NA
NODE_A1212_length_1304_cov_14.174409_CE3;1;0;Not-determined;NA
